date,average_glucose,median_glucose,min_glucose,max_glucose,reading_count
2020-10-29,160.88969017094016,171.0,61.0,208.0,288
2020-10-30,213.49225427350427,217.8333333333333,60.5,298.0,288
2020-10-31,194.95833333333334,198.33333333333331,53.0,309.0,288
2020-11-01,102.71527777777777,92.66666666666666,55.0,219.0,288
2020-11-02,169.68055555555554,177.0,62.0,266.0,288
2020-11-03,125.5,126.83333333333334,53.0,237.0,288
2020-11-04,107.62326388888889,104.0,54.0,172.0,288
2020-11-05,122.50078405017922,112.15591397849462,64.0,222.0,288
2020-11-06,140.86553539426524,141.86559139784947,73.0,217.0,288
2020-11-07,124.96527777777777,123.0,64.0,188.66666666666663,288
2020-11-08,136.21875,124.66666666666669,61.0,250.0,288
2020-11-09,144.921875,141.16666666666669,58.0,306.0,288
2020-11-10,147.75520833333334,150.0,66.0,237.5,288
2020-11-11,153.14236111111111,151.83333333333331,58.0,254.0,288
2020-11-12,141.07465277777777,137.16666666666669,62.0,253.0,288
2020-11-13,123.95833333333333,130.66666666666669,59.0,186.0,288
2020-11-14,162.25694444444446,165.16666666666666,76.0,249.0,288
2020-11-15,126.78125,131.0,53.0,189.0,288
2020-11-16,139.24305555555554,133.83333333333331,53.0,283.0,288
2020-11-17,112.77777777777777,92.16666666666666,62.0,241.0,288
2020-11-18,129.65798611111111,129.33333333333334,82.0,213.0,288
2020-11-19,138.25694444444446,140.33333333333331,87.0,199.0,288
2020-11-20,167.40451388888889,152.0,82.0,397.0,288
2020-11-21,100.79861111111111,98.16666666666666,54.0,159.0,288
2020-11-22,157.39756944444446,151.0,54.0,313.0,288
2020-11-23,105.09201388888889,98.83333333333334,53.0,196.0,288
2020-11-24,180.04861111111111,172.0,53.0,317.0,288
2020-11-25,197.26041666666666,196.0,57.0,345.0,288
2020-11-26,114.3125,106.0,56.0,229.0,288
2020-11-27,154.34027777777777,156.0,56.0,264.0,288
2020-11-28,136.4375,138.0,53.0,235.0,288
2020-11-29,165.24756944444442,115.83333333333334,52.0,359.0,288
2020-11-30,90.04930555555556,75.0,55.0,190.0,288
2020-12-01,120.84375,110.0,64.0,212.0,288
2020-12-02,138.58333333333334,131.33333333333334,90.0,244.0,288
2020-12-03,114.27430555555556,98.0,49.0,198.0,288
2020-12-04,143.67881944444446,147.1025641025641,60.0,208.0,288
2020-12-05,142.09895833333334,143.0,84.0,228.0,288
2020-12-06,157.24131944444446,164.5,58.0,241.0,288
2020-12-07,160.71006944444446,165.33333333333334,67.0,218.0,288
2020-12-08,120.30555555555556,120.0,58.0,199.0,288
2020-12-09,152.54340277777777,151.83333333333331,102.0,226.0,288
2020-12-10,107.28125,105.33333333333331,63.0,178.0,288
2020-12-11,165.74479166666666,177.0,68.0,264.0,288
